R,a0,a2,a4,b3,b5,E
0.82,0.37,-0.0239019,0.00067293,-0.00200899,8.17666e-05,99.4685
0.82,0.38,-0.0221089,0.000521579,-0.00191825,5.39774e-05,98.2289
0.82,0.39,-0.0201284,0.000370204,-0.0018043,2.40991e-05,97.0956
0.82,0.4,-0.0179553,0.000220458,-0.00166538,-7.65103e-06,96.0613
0.82,0.41,-0.0155845,7.41271e-05,-0.00149967,-4.10035e-05,95.1192
0.82,0.42,-0.0130105,-6.68634e-05,-0.00130524,-7.56309e-05,94.2633
0.82,0.43,-0.010228,-0.000200438,-0.00108004,-0.00011114,93.488
0.82,0.44,-0.00723121,-0.000324363,-0.000821898,-0.000147063,92.7884
0.82,0.45,-0.00401435,-0.000436233,-0.000528536,-0.000182851,92.1599
0.82,0.46,-0.000571455,-0.00053346,-0.000197528,-0.00021786,91.5984
0.82,0.47,0.00310227,-0.000613255,0.000173476,-0.00025134,91.1
0.82,0.48,0.00701576,-0.000672641,0.000587591,-0.000282426,90.6612
0.82,0.49,0.0111742,-0.000708383,0.00104747,-0.000310116,90.2789
0.82,0.5,0.0155841,-0.000717016,0.00155613,-0.000333261,89.95
0.82,0.51,0.0202522,-0.000694815,0.00211672,-0.000350546,89.6719
0.82,0.52,0.0251853,-0.000637774,0.00273255,-0.000360475,89.4419
0.82,0.53,0.0303905,-0.000541593,0.00340706,-0.00036135,89.2577
0.82,0.54,0.0358746,-0.000401655,0.00414384,-0.000351254,89.1172
0.82,0.55,0.0416447,-0.000213011,0.0049466,-0.000328031,89.0181
0.82,0.56,0.0477077,2.9627e-05,0.00581913,-0.000289273,88.9587
0.82,0.57,0.0540706,0.000331902,0.00676532,-0.000232303,88.9372
0.82,0.58,0.0607402,0.000699811,0.00778911,-0.000154167,88.9517
0.82,0.59,0.0677231,0.00113968,0.00889442,-5.16354e-05,89.0009
0.83,0.25,-0.00159522,-0.00259036,-0.000674298,0.0247062,263.098
0.83,0.26,-0.0199416,-0.00108346,-0.000411525,0.0164401,179.963
0.83,0.27,-0.0329778,0.00195195,-0.00197287,0.000228383,119.575
0.83,0.28,-0.0328459,0.00187023,-0.00203724,0.000225863,116.596
0.83,0.29,-0.0325745,0.00177786,-0.00209242,0.000221055,113.873
0.83,0.3,-0.0321594,0.00167545,-0.00213732,0.00021387,111.381
0.83,0.31,-0.0315967,0.00156367,-0.0021708,0.000204237,109.097
0.83,0.32,-0.030882,0.00144328,-0.00219169,0.000192104,107.003
0.83,0.33,-0.0300113,0.00131514,-0.00219877,0.000177442,105.081
0.83,0.34,-0.0289803,0.00118018,-0.00219079,0.000160243,103.318
0.83,0.35,-0.0277847,0.00103944,-0.00216644,0.000140526,101.7
0.83,0.36,-0.02642,0.000894036,-0.00212435,0.000118337,100.215
0.83,0.37,-0.0248818,0.000745204,-0.0020631,9.37531e-05,98.8543
0.83,0.38,-0.0231655,0.000594274,-0.00198119,6.68866e-05,97.6072
0.83,0.39,-0.0212663,0.000442689,-0.00187706,3.78872e-05,96.4659
0.83,0.4,-0.0191794,0.000292004,-0.00174906,6.94625e-06,95.423
0.83,0.41,-0.0169,0.000143904,-0.00159546,-2.56967e-05,94.4718
0.83,0.42,-0.0144228,1.97658e-07,-0.00141443,-5.975e-05,93.6062
0.83,0.43,-0.0117427,-0.000137165,-0.00120405,-9.48623e-05,92.8209
0.83,0.44,-0.00885423,-0.000266086,-0.000962274,-0.000130616,92.1107
0.83,0.45,-0.00575196,-0.000384314,-0.000686955,-0.000166519,91.4713
0.83,0.46,-0.00243021,-0.000489424,-0.00037582,-0.000201995,90.8984
0.83,0.47,0.00111548,-0.000578807,-2.66838e-05,-0.000236372,90.3882
0.83,0.48,0.00489374,-0.000649695,0.0003634,-0.000268879,89.9374
0.83,0.49,0.00890934,-0.000699069,0.000796901,-0.000298617,89.5426
0.83,0.5,0.0131685,-0.000723707,0.00127663,-0.000324559,89.201
0.83,0.51,0.0176776,-0.000720149,0.00180553,-0.000345531,88.9098
0.83,0.52,0.0224429,-0.000684684,0.00238669,-0.000360196,88.6665
0.83,0.53,0.0274712,-0.000613331,0.00302332,-0.000367038,88.4688
0.83,0.54,0.0327687,-0.000501824,0.00371877,-0.000364344,88.3144
0.83,0.55,0.0383423,-0.000345598,0.00447651,-0.000350189,88.2015
0.83,0.56,0.0441984,-0.000139777,0.00530006,-0.000322421,88.128
0.83,0.57,0.0503436,0.000120837,0.00619307,-0.000278644,88.0923
0.83,0.58,0.0567841,0.000441766,0.00715922,-0.000216212,88.0926
0.83,0.59,0.0635262,0.000828846,0.0082022,-0.000132224,88.1274
0.83,0.6,0.0705757,0.00128822,0.0093257,-2.35193e-05,88.1953
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.84,0.25,-0.00387826,-0.00234807,-0.000493603,0.023652,250.345
0.84,0.26,-0.0222615,-0.000770835,-0.000478375,0.0151823,170.546
0.84,0.27,-0.033392,0.00200002,-0.00197772,0.000231796,119.03
0.84,0.28,-0.0332991,0.00192131,-0.0020444,0.000229894,116.052
0.84,0.29,-0.0330695,0.00183192,-0.00210228,0.000225759,113.328
0.84,0.3,-0.0326992,0.00173242,-0.00215031,0.000219298,110.834
0.84,0.31,-0.0321842,0.00162344,-0.00218738,0.000210439,108.547
0.84,0.32,-0.0315206,0.00150571,-0.00221236,0.000199126,106.45
0.84,0.33,-0.0307042,0.00138003,-0.0022241,0.000185324,104.524
0.84,0.34,-0.029731,0.00124729,-0.00222139,0.000169018,102.756
0.84,0.35,-0.0285968,0.00110847,-0.00220297,0.000150219,101.133
0.84,0.36,-0.0272975,0.000964636,-0.00216753,0.000128962,99.6428
0.84,0.37,-0.0258286,0.000816947,-0.00211372,0.000105312,98.2751
0.84,0.38,-0.0241859,0.000666662,-0.00204011,7.93656e-05,97.021
0.84,0.39,-0.0223648,0.000515145,-0.00194521,5.12523e-05,95.8721
0.84,0.4,-0.0203607,0.000363865,-0.00182747,2.11417e-05,94.8211
0.84,0.41,-0.0181688,0.000214408,-0.00168525,-1.07537e-05,93.8613
0.84,0.42,-0.0157844,6.84786e-05,-0.00151681,-4.41738e-05,92.9866
0.84,0.43,-0.0132025,-7.20877e-05,-0.00132033,-7.88047e-05,92.1918
0.84,0.44,-0.0104178,-0.000205321,-0.0010939,-0.000114273,91.4717
0.84,0.45,-0.00742533,-0.000329106,-0.000835502,-0.000150136,90.8218
0.84,0.46,-0.00421955,-0.000441173,-0.00054299,-0.000185879,90.2382
0.84,0.47,-0.000794977,-0.000539086,-0.000214113,-0.000220901,89.7168
0.84,0.48,0.00285253,-0.000620227,0.000153268,-0.000254506,89.2545
0.84,0.49,0.00673161,-0.000681816,0.000562097,-0.000285894,88.8479
0.84,0.5,0.0108468,-0.000720836,0.00101479,-0.000314143,88.4941
0.84,0.51,0.0152039,-0.00073407,0.00151409,-0.000338204,88.1905
0.84,0.52,0.0198092,-0.00071807,0.0020629,-0.00035688,87.9345
0.84,0.53,0.0246687,-0.000669144,0.0026642,-0.000368814,87.7238
0.84,0.54,0.0297885,-0.000583343,0.00332113,-0.000372475,87.5563
0.84,0.55,0.035175,-0.000456445,0.00403692,-0.000366142,87.43
0.84,0.56,0.0408342,-0.000283947,0.00481487,-0.000347889,87.343
0.84,0.57,0.0467722,-6.10519e-05,0.00565839,-0.000315571,87.2936
0.84,0.58,0.0529951,0.000217335,0.00657092,-0.000266817,87.2802
0.84,0.59,0.0595086,0.000556598,0.00755594,-0.00019902,87.3012
0.84,0.6,0.0663183,0.000962411,0.0086169,-0.000109335,87.3552
0.84,0.61,0.0734293,0.00144071,0.00975723,5.31477e-06,87.4408
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
