R,a0,a2,a4,b3,b5,E
0,0,0,0,0,0,0
0.69,0.26,0.0147468,-0.00550056,-0.00866867,0.0350987,425.146
0.69,0.27,0.00140123,-0.00417476,-0.00153961,0.0260824,286.037
0.69,0.28,-0.0134245,-0.0027924,-0.000992011,0.0181129,199.722
0.69,0.29,-0.0233431,9.53212e-05,-0.0017387,0.00381675,128.767
0.69,0.3,-0.0223612,0.000765143,-0.00178254,0.000103154,123.461
0.69,0.31,-0.0208776,0.000618674,-0.00173147,7.94653e-05,121.244
0.69,0.32,-0.0191781,0.000469159,-0.00165601,5.29257e-05,119.233
0.69,0.33,-0.017255,0.000318682,-0.00155376,2.37394e-05,117.41
0.69,0.34,-0.0151005,0.000169551,-0.00142215,-7.8087e-06,115.76
0.69,0.35,-0.0127065,2.43165e-05,-0.00125844,-4.13407e-05,114.27
0.69,0.36,-0.0100645,-0.000114214,-0.00105968,-7.63712e-05,112.925
0.69,0.37,-0.00716562,-0.000242949,-0.00082268,-0.00011229,111.717
0.69,0.38,-0.0040006,-0.000358489,-0.000544018,-0.000148341,110.634
0.69,0.39,-0.000559774,-0.000457096,-0.000219985,-0.0001836,109.667
0.69,0.4,0.0031663,-0.000534659,0.000153314,-0.000216946,108.81
0.69,0.41,0.00718969,-0.000586662,0.000580434,-0.000247028,108.053
0.69,0.42,0.011521,-0.000608114,0.00106597,-0.000272229,107.391
0.69,0.43,0.016172,-0.000593519,0.00161499,-0.000290617,106.816
0.69,0.44,0.0211554,-0.000536804,0.00223301,-0.000299906,106.325
0.69,0.45,0.0264843,-0.000431253,0.00292595,-0.00029739,105.911
0.69,0.46,0.0321729,-0.000269426,0.00370021,-0.000279889,105.568
0.69,0.47,0.0382361,-4.30737e-05,0.00456267,-0.000243678,105.294
0.69,0.48,0.0446897,0.000256953,0.0055207,-0.000184417,105.083
0.69,0.49,0.0515507,0.000640797,0.0065822,-9.70831e-05,104.931
0.69,0.5,0.0588368,0.00111967,0.00775557,2.40979e-05,104.835
0.69,0.51,0.0665669,0.00170593,0.00904972,0.000185704,104.79
0.69,0.52,0.0747605,0.00241305,0.0104741,0.000395141,104.793
0.69,0.53,0.0834375,0.00325559,0.0120384,0.000660627,104.841
0.69,0.54,0.0926176,0.0042489,0.0137527,0.000991084,104.931
0.69,0.55,0.102319,0.00540869,0.0156273,0.00139593,105.059
0.69,0.56,0.112555,0.00675024,0.0176718,0.0018847,105.223
0.69,0.57,0.123334,0.00828716,0.0198949,0.00246642,105.419
0.69,0.58,0.134651,0.0100297,0.0223034,0.00314876,105.647
0.69,0.59,0.146489,0.0119828,0.0249005,0.00393698,105.903
0.69,0.6,0.15881,0.0141439,0.0276848,0.00483278,106.187
0,0,0,0,0,0,0
0.7,0.26,0.0126232,-0.00514352,-0.00561783,0.0333518,393.622
0.7,0.27,-0.00166826,-0.00378928,-0.00119576,0.0246441,267.007
0.7,0.28,-0.0164537,-0.00232614,-0.00101173,0.0163957,184.959
0.7,0.29,-0.0244351,0.00097619,-0.00184458,0.000133271,124.698
0.7,0.3,-0.0232401,0.00083692,-0.00182356,0.000113747,122.248
0.7,0.31,-0.0218425,0.000692112,-0.00178154,9.12456e-05,120.022
0.7,0.32,-0.020235,0.000543513,-0.00171639,6.58734e-05,118.001
0.7,0.33,-0.0184105,0.00039306,-0.00162585,3.77995e-05,116.167
0.7,0.34,-0.0163616,0.0002429,-0.0015075,7.26568e-06,114.504
0.7,0.35,-0.0140805,9.53991e-05,-0.00135877,-2.54032e-05,112.999
0.7,0.36,-0.0115591,-4.68358e-05,-0.00117689,-5.97863e-05,111.64
0.7,0.37,-0.0087891,-0.00018094,-0.000958895,-9.5352e-05,110.415
0.7,0.38,-0.00576175,-0.000303769,-0.000701584,-0.00013144,109.314
0.7,0.39,-0.00246793,-0.00041187,-0.000401514,-0.000167242,108.329
0.7,0.4,0.00110116,-0.000501449,-5.50801e-05,-0.000201775,107.452
0.7,0.41,0.00495695,-0.000568359,0.000341949,-0.000233857,106.675
0.7,0.42,0.00910926,-0.000608019,0.000793806,-0.000262071,105.992
0.7,0.43,0.0135691,-0.000615399,0.00130518,-0.000284728,105.396
0.7,0.44,0.0183482,-0.00058496,0.00188112,-0.000299827,104.883
0.7,0.45,0.0234587,-0.000510594,0.00252708,-0.000305006,104.446
0.7,0.46,0.0289136,-0.000385558,0.00324892,-0.000297486,104.081
0.7,0.47,0.0347266,-0.000202399,0.00405295,-0.000274017,103.784
0.7,0.48,0.0409122,4.71223e-05,0.00494591,-0.000230814,103.55
0.7,0.49,0.0474856,0.000372117,0.00593501,-0.000163491,103.376
0.7,0.5,0.0544629,0.000782641,0.00702789,-6.70049e-05,103.257
0.7,0.51,0.0618612,0.00128976,0.00823269,6.44062e-05,103.19
0.7,0.52,0.0696982,0.00190559,0.00955793,0.000237255,103.172
0.7,0.53,0.0779919,0.00264325,0.0110126,0.000458813,103.199
0.7,0.54,0.0867607,0.00351676,0.0126058,0.000737067,103.269
0.7,0.55,0.0960218,0.00454073,0.014347,0.0010806,103.378
0.7,0.56,0.10579,0.0057299,0.0162455,0.00149833,103.524
0.7,0.57,0.116078,0.00709827,0.0183099,0.00199913,103.704
0.7,0.58,0.126887,0.00865792,0.0205477,0.00259123,103.915
0.7,0.59,0.138212,0.0104174,0.0229644,0.00328138,104.157
0.7,0.6,0.150031,0.0123801,0.0255619,0.0040739,104.427
0,0,0,0,0,0,0
0.71,0.26,0.0103767,-0.00477969,-0.00383389,0.0316586,365.131
0.71,0.27,-0.00472658,-0.00341863,-0.000955458,0.0232543,249.759
0.71,0.28,-0.0193097,-0.00183449,-0.00108136,0.0145479,170.988
0.71,0.29,-0.0252034,0.00104461,-0.00187495,0.000142227,123.557
0.71,0.3,-0.024085,0.000907783,-0.0018613,0.000123852,121.1
0.71,0.31,-0.0227693,0.000764867,-0.00182771,0.000102517,118.867
0.71,0.32,-0.0212498,0.000617491,-0.00177216,7.83035e-05,116.837
0.71,0.33,-0.0195194,0.000467462,-0.00169252,5.13511e-05,114.993
0.71,0.34,-0.0175711,0.000316775,-0.00158651,2.18634e-05,113.319
0.71,0.35,-0.0153976,0.000167635,-0.00145171,-9.88074e-06,111.801
0.71,0.36,-0.0129912,2.24631e-05,-0.00128552,-4.3517e-05,110.427
0.71,0.37,-0.0103439,-0.000116082,-0.00108517,-7.8582e-05,109.187
